#This file contains tabulated data of a Bacillus subtilis transformation 
#experiment conducted on October 1st, 2015. As this data is still unpublished
#please ensure that it is not released into the wild. 
#
#An IPTG-inducible hyper-competent strain of Bacillus subtilis was incubated
#with varying concentrations of DNA containing a YFP gene whose expression
#is driven by the endogenous CitB promoter. After 1 hour of incubation, the DNA
#was removed from the sample and the cells were allowed to express the YFP for
#one hour at 37 C. Cells were then spread onto agarose pads containing 100µM IPTG
#and imaged under phase-contrast and fluorescence. Cells that were expressing a
#CFP reporter of competence were segmented computationally and the mean pixel
#intensity of each cell was computed. 
#
#Growth conditions = aerobic (flask growth)
#Data reported = mean pixel values for each segmented cell.
#
0 plasmids/cell,10^1 plasmids/cell,10^2 plasmids/cell,10^3 plasmids/cell,10^4 plasmids/cell,10^5 plasmids/cell
107.41269841269842,103.57082002129926,103.71812749003983,107.2025974025974,104.06346967559944,278.45631067961165
108.43632958801498,104.34220532319392,106.65104166666667,103.9601593625498,117.7673469387755,270.30620985010705
111.52878464818764,104.76310272536688,105.91606714628297,103.4290909090909,122.6751677852349,153.7816742081448
107.859477124183,104.58016304347827,107.48476454293629,104.85433070866142,116.6149193548387,163.3968253968254
107.75247524752476,104.1672131147541,135.21792618629175,103.84749034749035,138.90680473372782,189.7927927927928
109.43491577335375,104.51649928263988,107.15064935064935,104.30891719745223,127.60460992907801,223.62639821029083
109.04402515723271,104.27272727272727,107.5887708649469,107.27181688125894,111.00700525394045,186.09264705882353
105.85135135135135,104.40852819807428,106.10514541387025,105.35502958579882,104.29452054794521,120.64983534577388
108.4327485380117,105.69964664310955,107.08884297520662,104.25096525096525,161.79049034175335,136.3996138996139
107.7719298245614,103.0136186770428,106.47507788161994,104.62280701754386,123.54441260744986,202.00687022900763
106.80353634577604,102.92732558139535,104.00262123197903,104.85954198473283,121.56393442622951,104.65648854961832
106.51476793248945,104.29837251356238,106.71025260029718,103.46481481481482,134.28571428571428,138.0411931818182
107.81618497109827,103.90045248868778,108.3002257336343,107.4668400520156,123.13911620294598,168.0369458128079
107.24383561643836,102.9589552238806,112.41820768136557,104.95687885010267,116.24689655172413,128.61477045908183
111.41798941798942,105.26299694189602,105.85833333333333,106.99087353324641,123.6420233463035,105.88732394366197
107.8917525773196,104.1761658031088,106.80240963855422,103.542,123.91537376586741,157.0904255319149
108.39086294416244,104.15098468271334,107.42592592592592,104.79893048128342,213.2764786795048,172.33333333333334
108.75095057034221,104.03885135135135,108.066091954023,104.87692307692308,132.87688984881208,139.70673952641167
109.5732558139535,102.8711111111111,106.88837920489297,104.72145545796738,108.93962848297214,379.797263681592
107.23229813664597,104.28900255754476,105.17032258064516,103.78458049886622,103.80388349514563,144.61744966442953
108.52045454545454,104.00638977635782,107.32244318181819,104.76268412438625,149.27521793275218,196.9717277486911
107.13455149501661,104.60802469135803,180.97750865051904,106.10828025477707,104.10192837465564,147.44168734491316
