#This file contains tabulated data of a Bacillus subtilis transformation 
#experiment conducted on October 1st, 2015. As this data is still unpublished
#please ensure that it is not released into the wild. 
#
#An IPTG-inducible hyper-competent strain of Bacillus subtilis was incubated
#with varying concentrations of DNA containing a YFP gene whose expression
#is driven by the endogenous CitB promoter. After 1 hour of incubation, the DNA
#was removed from the sample and the cells were allowed to express the YFP for
#one hour at 37 C. Cells were then spread onto agarose pads containing 100µM IPTG
#and imaged under phase-contrast and fluorescence. Cells that were expressing a
#CFP reporter of competence were segmented computationally and the mean pixel
#intensity of each cell was computed. 
#
#Growth conditions = anaerobic (tube growth)
#Data reported = mean pixel values for each segmented cell.
#
0 plasmids/cell,10^1 plasmids/cell,10^2 plasmids/cell,10^3 plasmids/cell,10^4 plasmids/cell,10^5 plasmids/cell
104.84173669467788,104.52558139534884,104.08521739130435,103.9796178343949,103.63076923076923,119.17196531791907
105.50333333333333,103.57335127860027,102.6482617586912,104.16154721274175,104.57052631578948,102.86158798283262
105.33394495412844,104.63731343283582,101.85074626865672,103.47718383311603,105.0268361581921,109.54230769230769
103.75777777777778,104.70054945054945,103.78373702422145,104.99080459770114,108.54154302670624,142.6969696969697
105.27678571428571,105.40512048192771,104.33333333333333,109.73248407643312,140.79975278121137,104.87301587301587
104.35500878734622,105.05046728971962,104.00513478818999,109.76753507014028,108.92099792099792,106.94326241134752
104.14866979655712,103.00337078651685,104.3678861788618,109.28813559322033,106.03021148036254,128.1172932330827
105.67017543859649,103.76964047936085,102.80491551459293,105.1957928802589,106.57661290322581,113.47638603696099
105.57507987220447,104.42191142191142,103.35714285714286,107.12018140589569,104.01335877862596,104.34198473282443
104.60123647604328,104.55804480651732,104.24792531120332,105.06260032102729,104.24144144144144,103.35198555956678
104.19744680851063,103.60808709175738,103.94423791821562,104.66382978723404,103.3421300659755,103.36363636363636
102.86818181818182,104.70695553021665,104.08791208791209,104.1630309988519,102.287841191067,103.57623762376238
105.30497592295345,103.3744769874477,102.64814814814815,104.55821371610845,103.60374832663989,105.45955249569707
105.10474308300395,104.81361256544503,104.61943319838056,304.65,102.77445109780439,124.14129244249726
104.70603337612323,104.62834645669291,104.11328671328671,108.54461538461538,107.35917721518987,108.23122238586156
103.6332288401254,104.02560819462228,104.8219696969697,105.59888579387187,129.24909747292418,134.4051282051282
102.80364372469636,103.75912408759125,104.19267015706806,112.81103678929766,105.44843049327355,103.43388429752066
103.07569721115537,104.75894245723173,104.48318385650224,113.4519940915805,103.62437395659433,103.6923076923077
103.84942528735633,103.12995594713657,105.06738131699846,104.39344262295081,102.5569422776911,103.31722054380664
102.96696696696696,104.52777777777777,104.6098003629764,105.25531914893617,102.05472636815921,130.93483412322274
104.18619791666667,104.33953488372093,104.27818181818182,104.53598484848484,103.6577868852459,156.16566866267465
102.95197740112994,104.42857142857143,103.48314606741573,104.42450142450143,102.62660944206009,127.46220930232558
103.76714801444044,104.27016129032258,103.50709219858156,105.34905660377359,264.9696132596685,110.40941176470588
104.880174291939,103.73572938689217,103.26282051282051,103.9373040752351,107.36212278876171,109.449401523395
102.95615866388309,102.7939262472885,110.01475595913735,104.41328413284133,113.44714285714285,103.94259259259259
103.39399624765478,104.26530612244898,104.66377816291161,105.03740157480316,105.03809523809524,102.98760842627014
103.889816360601,103.83177570093459,105.09666666666666,106.56428571428572,107.27534246575343,102.91655629139073
